127.0.0.1 - - [16/Sep/2020:00:00:12 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Sep/2020:00:00:13 +0900] "GET /nanam/main/index.jsp HTTP/1.1" 200 17363
0:0:0:0:0:0:0:1 - - [16/Sep/2020:00:00:13 +0900] "GET /nanam/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2020:00:00:13 +0900] "GET /nanam/main/images/png-transparent-hamburger-button-computer-icons-drop-down-list-menu-angle-food-text.png HTTP/1.1" 404 924
0:0:0:0:0:0:0:1 - - [16/Sep/2020:00:00:13 +0900] "GET /nanam/main/images/S2004270335382_1.jpg HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [16/Sep/2020:00:00:13 +0900] "GET /nanam/images/allbook_list/1907230001_R.jpg HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [16/Sep/2020:00:00:13 +0900] "GET /nanam/images/steadyseller/1707062460_M1.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [16/Sep/2020:00:00:13 +0900] "GET /nanam/images/steadyseller/1707170001_M1.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [16/Sep/2020:00:00:13 +0900] "GET /nanam/images/steadyseller/1707062430_R.jpg HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [16/Sep/2020:00:00:13 +0900] "GET /nanam/images/steadyseller/1802230001_M1.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [16/Sep/2020:00:00:13 +0900] "GET /nanam/images/steadyseller/2003020001_M1.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [16/Sep/2020:00:00:13 +0900] "GET /nanam/images/steadyseller/1707062410_M1.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [16/Sep/2020:00:00:13 +0900] "GET /nanam/images/nanamofbook/2003160001_M1.jpg HTTP/1.1" 404 861
